dataset,group,variant,case_count,pass_count,pass_rate_pct,avg_gt_latency_s,avg_macro_latency_s_passed,avg_micro_latency_s_passed,avg_final_latency_s_passed,avg_latency_gain_pct_passed,mean_rollback_depth,avg_runtime_s
long-chain,Group1,action_only,6,4,66.67,7.195,5.6193,NA,5.6193,23.23,1,22.5704
long-chain,Group1,full_floweaver,6,6,100.0,7.195,1.997,1.7895,1.7895,75.38,0.8333,29.4133
long-chain,Group1,without_micro,6,5,83.33,7.195,1.8988,NA,1.8988,72.8,1.1667,26.7661
long-chain,Group1,without_rollback,6,1,16.67,7.195,2.323,2.091,2.091,73.9,2.5,21.6256
long-chain,Group2,action_only,8,6,75.0,12.8475,9.939,NA,9.939,21.01,0.875,27.3571
long-chain,Group2,full_floweaver,8,8,100.0,12.8475,3.5135,3.1439,3.1439,75.32,1.5,34.9175
long-chain,Group2,without_micro,8,7,87.5,12.8475,3.6667,NA,3.6667,72.22,1.625,31.7749
long-chain,Group2,without_rollback,8,1,12.5,12.8475,3.306,2.975,2.975,73.9,2.625,25.4766
long-chain,Group3,action_only,4,2,50.0,24.42,14.8938,NA,14.8938,35.78,2,35.5816
long-chain,Group3,full_floweaver,4,4,100.0,24.42,6.797,5.9955,5.9955,75.54,2.75,43.82
long-chain,Group3,without_micro,4,3,75.0,24.42,6.7637,NA,6.7637,71.92,2.75,39.8762
long-chain,Group3,without_rollback,4,0,0.0,24.42,NA,NA,NA,NA,3,31.5504
long-chain,Group4,action_only,8,4,50.0,32.7638,25.2198,NA,25.2198,27.72,2,36.0789
long-chain,Group4,full_floweaver,8,7,87.5,32.7638,10.2937,9.0196,9.0196,73.47,2.625,43.8825
long-chain,Group4,without_micro,8,6,75.0,32.7638,10.786,NA,10.786,69.04,2.625,39.9331
long-chain,Group4,without_rollback,8,0,0.0,32.7638,NA,NA,NA,NA,3,31.5954
smart-home,Group1,action_only,21,19,90.48,1.8752,1.4718,NA,1.4718,17.26,0.381,7.5171
smart-home,Group1,full_floweaver,21,21,100.0,1.8752,1.1632,1.104,1.104,33.69,0.7143,9.7095
smart-home,Group1,without_micro,21,20,95.24,1.8752,1.1752,NA,1.1752,29.16,0.7143,8.8357
smart-home,Group1,without_rollback,21,14,66.67,1.8752,1.3409,1.286,1.286,16.32,1,7.4954
smart-home,Group2,action_only,12,9,75.0,4.5167,2.6499,NA,2.6499,35.39,0.75,11.9429
smart-home,Group2,full_floweaver,12,12,100.0,4.5167,1.7011,1.5357,1.5357,66.62,1.5833,15.0867
smart-home,Group2,without_micro,12,11,91.67,4.5167,1.7597,NA,1.7597,62.29,1.5833,13.7289
smart-home,Group2,without_rollback,12,2,16.67,4.5167,1.4255,1.2935,1.2935,72.56,2.5,11.1609
smart-home,Group3,action_only,8,6,75.0,7.855,5.3056,NA,5.3056,31.14,1.25,13.1365
smart-home,Group3,full_floweaver,8,8,100.0,7.855,3.2346,2.9159,2.9159,62.27,1.875,16.385
smart-home,Group3,without_micro,8,7,87.5,7.855,3.2306,NA,3.2306,58.23,2,14.9104
smart-home,Group3,without_rollback,8,0,0.0,7.855,NA,NA,NA,NA,3,11.7972
smart-home,Group4,action_only,9,6,66.67,11.0433,7.4144,NA,7.4144,32.97,1.4444,14.8959
smart-home,Group4,full_floweaver,9,8,88.89,11.0433,4.2244,3.7856,3.7856,65.69,1.2222,18.5911
smart-home,Group4,without_micro,9,7,77.78,11.0433,4.3986,NA,4.3986,60.87,1.5556,16.9179
smart-home,Group4,without_rollback,9,3,33.33,11.0433,3.794,3.3513,3.3513,70.7,2,14.0227
