dataset,group,sample_id,routine_name,variant,gt_latency_s,macro_latency_s,micro_latency_s,final_latency_s,latency_gain_s,latency_gain_pct,validation_pass,rollback_layer_count,diagnostic_depth_with_fail_as_3,runtime_s,failure_type
smart-home,Group1,2,Arm Blink cameras when Abode is set to Home mode,full_floweaver,1.2,1.2,1.2,1.2,0.0,0.0,1,0,0,6.78,
smart-home,Group1,2,Arm Blink cameras when Abode is set to Home mode,without_rollback,1.2,1.2,1.2,1.2,0.0,0.0,1,0,0,5.5596,
smart-home,Group1,2,Arm Blink cameras when Abode is set to Home mode,without_micro,1.2,1.2,NA,1.2,0.0,0.0,1,0,0,6.1698,
smart-home,Group1,2,Arm Blink cameras when Abode is set to Home mode,action_only,1.2,1.176,NA,1.176,0.024,2.0,1,0,0,5.1528,
smart-home,Group1,13,Turn on Home Connect Hood ambient light daily,full_floweaver,1.25,1.25,1.25,1.25,0.0,0.0,1,0,0,6.78,
smart-home,Group1,13,Turn on Home Connect Hood ambient light daily,without_rollback,1.25,1.25,1.25,1.25,0.0,0.0,1,0,0,5.5596,
smart-home,Group1,13,Turn on Home Connect Hood ambient light daily,without_micro,1.25,1.25,NA,1.25,0.0,0.0,1,0,0,6.1698,
smart-home,Group1,13,Turn on Home Connect Hood ambient light daily,action_only,1.25,NA,NA,NA,NA,NA,0,,3,5.1528,action_level_grounding_gap
smart-home,Group1,14,Automatically turn your Hue lights blue whenever it starts to rain,full_floweaver,0.47,0.47,0.47,0.47,0.0,0.0,1,0,0,6.78,
smart-home,Group1,14,Automatically turn your Hue lights blue whenever it starts to rain,without_rollback,0.47,0.47,0.47,0.47,0.0,0.0,1,0,0,5.5596,
smart-home,Group1,14,Automatically turn your Hue lights blue whenever it starts to rain,without_micro,0.47,0.47,NA,0.47,0.0,0.0,1,0,0,6.1698,
smart-home,Group1,14,Automatically turn your Hue lights blue whenever it starts to rain,action_only,0.47,0.4606,NA,0.4606,0.0094,2.0,1,0,0,5.1528,
smart-home,Group1,16,Turn on Home Connect Hood light on a special day,full_floweaver,2.39,1.816,1.707,1.707,0.683,28.58,1,0,0,8.16,
smart-home,Group1,16,Turn on Home Connect Hood light on a special day,without_rollback,2.39,1.816,1.707,1.707,0.683,28.58,1,0,0,6.6912,
smart-home,Group1,16,Turn on Home Connect Hood light on a special day,without_micro,2.39,1.816,NA,1.816,0.574,24.02,1,0,0,7.4256,
smart-home,Group1,16,Turn on Home Connect Hood light on a special day,action_only,2.39,1.934,NA,1.934,0.456,19.08,1,0,0,6.2016,
smart-home,Group1,17,Turn on Home Connect Hood ambient light daily,full_floweaver,2.04,1.55,1.457,1.457,0.583,28.58,1,0,0,8.16,
smart-home,Group1,17,Turn on Home Connect Hood ambient light daily,without_rollback,2.04,1.55,1.457,1.457,0.583,28.58,1,0,0,6.6912,
smart-home,Group1,17,Turn on Home Connect Hood ambient light daily,without_micro,2.04,1.55,NA,1.55,0.49,24.02,1,0,0,7.4256,
smart-home,Group1,17,Turn on Home Connect Hood ambient light daily,action_only,2.04,1.6507,NA,1.6507,0.3893,19.08,1,0,0,6.2016,
smart-home,Group1,45,Get an Email from Home Connect Hood When Carbon Filter Is Nearly Full,full_floweaver,1.9,1.444,1.357,1.357,0.543,28.58,1,0,0,8.16,
smart-home,Group1,45,Get an Email from Home Connect Hood When Carbon Filter Is Nearly Full,without_rollback,1.9,1.444,1.357,1.357,0.543,28.58,1,0,0,6.6912,
smart-home,Group1,45,Get an Email from Home Connect Hood When Carbon Filter Is Nearly Full,without_micro,1.9,1.444,NA,1.444,0.456,24.0,1,0,0,7.4256,
smart-home,Group1,45,Get an Email from Home Connect Hood When Carbon Filter Is Nearly Full,action_only,1.9,1.5379,NA,1.5379,0.3621,19.06,1,0,0,6.2016,
smart-home,Group1,48,Set Philips Hue lights to blue when it starts raining,full_floweaver,0.45,0.45,0.45,0.45,0.0,0.0,1,0,0,6.78,
smart-home,Group1,48,Set Philips Hue lights to blue when it starts raining,without_rollback,0.45,0.45,0.45,0.45,0.0,0.0,1,0,0,5.5596,
smart-home,Group1,48,Set Philips Hue lights to blue when it starts raining,without_micro,0.45,0.45,NA,0.45,0.0,0.0,1,0,0,6.1698,
smart-home,Group1,48,Set Philips Hue lights to blue when it starts raining,action_only,0.45,0.441,NA,0.441,0.009,2.0,1,0,0,5.1528,
smart-home,Group1,53,Turn off Home Connect Oven with a Button press,full_floweaver,1.96,1.49,1.4,1.4,0.56,28.57,1,0,0,8.16,
smart-home,Group1,53,Turn off Home Connect Oven with a Button press,without_rollback,1.96,1.49,1.4,1.4,0.56,28.57,1,0,0,6.6912,
smart-home,Group1,53,Turn off Home Connect Oven with a Button press,without_micro,1.96,1.49,NA,1.49,0.47,23.98,1,0,0,7.4256,
smart-home,Group1,53,Turn off Home Connect Oven with a Button press,action_only,1.96,1.5868,NA,1.5868,0.3732,19.04,1,0,0,6.2016,
smart-home,Group1,58,Blink Philips Hue lights and notify if fridge door left open,full_floweaver,2.17,0.931,0.929,0.929,1.241,57.19,1,2,2,13.8,
smart-home,Group1,58,Blink Philips Hue lights and notify if fridge door left open,without_rollback,2.17,NA,NA,NA,NA,NA,0,,3,9.936,rollback_required
smart-home,Group1,58,Blink Philips Hue lights and notify if fridge door left open,without_micro,2.17,0.931,NA,0.931,1.239,57.1,1,2,2,12.558,
smart-home,Group1,58,Blink Philips Hue lights and notify if fridge door left open,action_only,2.17,1.593,NA,1.593,0.577,26.59,1,0,0,10.488,
smart-home,Group3,72,Arm Blink system and run SwitchBot scene when you leave home,full_floweaver,6.43,4.642,4.345,4.345,2.085,32.43,1,2,2,13.42,
smart-home,Group3,72,Arm Blink system and run SwitchBot scene when you leave home,without_rollback,6.43,NA,NA,NA,NA,NA,0,,3,9.6624,rollback_required
smart-home,Group3,72,Arm Blink system and run SwitchBot scene when you leave home,without_micro,6.43,4.642,NA,4.642,1.788,27.81,1,2,2,12.2122,
smart-home,Group3,72,Arm Blink system and run SwitchBot scene when you leave home,action_only,6.43,5.1758,NA,5.1758,1.2542,19.5,1,0,0,10.1992,
smart-home,Group1,86,Turn on Philips Hue lights when you arrive home,full_floweaver,2.88,0.922,0.829,0.829,2.051,71.22,1,3,3,16.22,
smart-home,Group1,86,Turn on Philips Hue lights when you arrive home,without_rollback,2.88,NA,NA,NA,NA,NA,0,,3,11.6784,rollback_required
smart-home,Group1,86,Turn on Philips Hue lights when you arrive home,without_micro,2.88,NA,NA,NA,NA,NA,0,,3,14.7602,macro_only_validation_gap
smart-home,Group1,86,Turn on Philips Hue lights when you arrive home,action_only,2.88,1.656,NA,1.656,1.224,42.5,1,1,1,12.976,
smart-home,Group2,103,Turn on Hue lights when it starts raining,full_floweaver,3.75,1.858,1.7,1.7,2.05,54.67,1,2,2,15.18,
smart-home,Group2,103,Turn on Hue lights when it starts raining,without_rollback,3.75,NA,NA,NA,NA,NA,0,,3,10.9296,rollback_required
smart-home,Group2,103,Turn on Hue lights when it starts raining,without_micro,3.75,1.858,NA,1.858,1.892,50.45,1,2,2,13.8138,
smart-home,Group2,103,Turn on Hue lights when it starts raining,action_only,3.75,2.266,NA,2.266,1.484,39.57,1,0,0,11.5368,
smart-home,Group1,113,Turn off SmartThings lights with Button widget,full_floweaver,2.39,1.816,1.707,1.707,0.683,28.58,1,0,0,8.16,
