dataset,method,group,case_count,pass_count,pass_rate_pct,paired_gt_latency_s,latency_s,latency_min_s,latency_max_s,latency_gain_s,latency_gain_pct,depth0_count,depth1_count,depth2_count,depth3_count,rr1_pct,rr2_pct,rr3_pct,mean_diagnostic_rollback_depth,runtime_avg_s,runtime_min_s,runtime_max_s
smart-home,HEFT,Group1,21,15,71.43,1.75,1.38,0.82,2.18,0.37,21.14,15,3,2,1,28.57,14.29,4.76,0.48,6.00,4.10,7.50
smart-home,HEFT,Group2,12,7,58.33,4.25,3.05,2.10,4.35,1.20,28.24,7,2,2,1,41.67,25.00,8.33,0.75,7.80,5.70,9.40
smart-home,HEFT,Group3,8,3,37.50,7.55,4.95,3.80,6.65,2.60,34.44,3,1,2,2,62.50,50.00,25.00,1.38,9.20,7.00,10.50
smart-home,HEFT,Group4,9,2,22.22,10.70,6.55,5.10,8.40,4.15,38.79,2,1,2,4,77.78,66.67,44.44,1.89,10.20,8.10,11.50
smart-home,HEFT,Overall,50,27,54.00,3.7056,2.5926,0.82,8.40,1.1130,30.03,27,7,8,8,46.00,32.00,16.00,0.94,7.70,4.10,11.50
smart-home,NaiveTopo,Group1,21,17,80.95,1.82,1.46,0.90,2.28,0.36,19.78,17,3,1,0,19.05,4.76,0.00,0.24,5.20,3.80,6.60
smart-home,NaiveTopo,Group2,12,8,66.67,4.38,3.28,2.20,4.60,1.10,25.11,8,2,2,0,33.33,16.67,0.00,0.50,6.30,4.50,7.80
smart-home,NaiveTopo,Group3,8,4,50.00,7.70,5.38,4.05,7.20,2.32,30.13,4,1,2,1,50.00,37.50,12.50,1.00,7.40,5.60,8.90
smart-home,NaiveTopo,Group4,9,3,33.33,10.85,7.10,5.35,9.10,3.75,34.56,3,1,2,3,66.67,55.56,33.33,1.56,8.60,6.40,10.20
smart-home,NaiveTopo,Overall,50,32,64.00,4.0416,2.9337,0.90,9.10,1.1078,27.41,32,7,7,4,36.00,22.00,8.00,0.66,6.43,3.80,10.20
long-chain,HEFT,Group1,6,4,66.67,6.90,4.85,3.70,6.20,2.05,29.71,4,1,1,0,33.33,16.67,0.00,0.50,7.50,6.00,9.00
long-chain,HEFT,Group2,8,4,50.00,12.20,7.80,6.10,9.90,4.40,36.07,4,1,2,1,50.00,37.50,12.50,1.00,9.80,7.50,12.00
long-chain,HEFT,Group3,4,1,25.00,23.50,13.50,13.50,13.50,10.00,42.55,1,0,1,2,75.00,75.00,50.00,2.00,12.50,9.80,14.70
long-chain,HEFT,Group4,8,1,12.50,31.00,16.90,16.90,16.90,14.10,45.48,1,0,2,5,87.50,87.50,62.50,2.38,14.95,11.50,17.10
long-chain,HEFT,Overall,26,10,38.46,13.09,8.10,3.70,16.90,4.99,38.12,10,2,6,8,61.54,53.85,30.77,1.46,11.27,6.00,17.10
long-chain,NaiveTopo,Group1,6,5,83.33,7.05,5.20,4.10,6.40,1.85,26.24,5,1,0,0,16.67,0.00,0.00,0.17,6.50,5.20,8.00
long-chain,NaiveTopo,Group2,8,5,62.50,12.50,8.65,6.70,11.20,3.85,30.80,5,2,1,0,37.50,12.50,0.00,0.50,8.20,6.20,10.10
long-chain,NaiveTopo,Group3,4,2,50.00,23.80,15.10,13.40,16.80,8.70,36.55,2,0,1,1,50.00,50.00,25.00,1.25,10.50,8.00,12.50
long-chain,NaiveTopo,Group4,8,2,25.00,31.80,19.10,16.70,21.50,12.70,39.94,2,1,2,3,75.00,62.50,37.50,1.75,12.80,9.30,15.00
long-chain,NaiveTopo,Overall,26,14,53.85,14.925,9.8321,4.10,21.50,5.0929,34.12,14,4,4,4,46.15,30.77,15.38,0.92,9.58,5.20,15.00
