case_id,target_file,case_name,action_count,ble_count,cloud_count,local_count,ha_count,native_latency_s,naive_topo_latency_s,latency_gain_s,latency_gain_pct,validation_pass,validation_failure_type,batch_count,max_batch_width,runtime_s,micro_not_applicable,validation_dir
vdev_air_quality_recovery_routine_01,data/targets/vdev_benchmarks/vdev_air_quality_recovery_routine_01.json,Air Quality Recovery Routine,13,2,3,4,4,6.98,3.82,3.16,45.27,1,,5,4,0.0355,True,data/baselines/naive_topo_parallel/latest/validation/vdev_air_quality_recovery_routine_01
vdev_arrival_comfort_preparation_01,data/targets/vdev_benchmarks/vdev_arrival_comfort_preparation_01.json,Coming Home Comfort Preparation Routine,16,6,4,2,4,14.84,10.9,3.94,26.55,0,order_violation,8,4,0.0431,True,data/baselines/naive_topo_parallel/latest/validation/vdev_arrival_comfort_preparation_01
vdev_arrival_home_preparation_profile_01,data/targets/vdev_benchmarks/vdev_arrival_home_preparation_profile_01.json,Arrival Home Preparation Profile Coverage,15,5,4,2,4,13.04,9.1,3.94,30.21,0,order_violation,7,4,0.0399,True,data/baselines/naive_topo_parallel/latest/validation/vdev_arrival_home_preparation_profile_01
vdev_arrive_home_lighting_climate_prep_01,data/targets/vdev_benchmarks/vdev_arrive_home_lighting_climate_prep_01.json,Arrive-Home Lighting and Climate Prep,18,6,4,4,4,15.08,11.02,4.06,26.92,0,order_violation,9,4,0.0302,True,data/baselines/naive_topo_parallel/latest/validation/vdev_arrive_home_lighting_climate_prep_01
vdev_bad_air_morning_recovery_01,data/targets/vdev_benchmarks/vdev_bad_air_morning_recovery_01.json,Bad-Air Morning Recovery,13,4,3,2,4,10.34,7.42,2.92,28.24,1,,7,4,0.0184,True,data/baselines/naive_topo_parallel/latest/validation/vdev_bad_air_morning_recovery_01
vdev_bedtime_lockdown_profile_01,data/targets/vdev_benchmarks/vdev_bedtime_lockdown_profile_01.json,Bedtime Lockdown Profile Coverage,19,7,5,3,4,17.66,13.72,3.94,22.31,1,,11,4,0.0249,True,data/baselines/naive_topo_parallel/latest/validation/vdev_bedtime_lockdown_profile_01
vdev_bedtime_lockdown_routine_01,data/targets/vdev_benchmarks/vdev_bedtime_lockdown_routine_01.json,Bedtime Lockdown Routine,19,6,6,3,4,16.76,11.92,4.84,28.88,1,,10,4,0.0235,True,data/baselines/naive_topo_parallel/latest/validation/vdev_bedtime_lockdown_routine_01
vdev_ble_safety_sweep_routine_01,data/targets/vdev_benchmarks/vdev_ble_safety_sweep_routine_01.json,BLE Safety Sweep Routine,17,15,0,0,2,27.1,27.1,0.0,0.0,1,,17,1,0.0195,True,data/baselines/naive_topo_parallel/latest/validation/vdev_ble_safety_sweep_routine_01
vdev_ble_safety_sweep_stress_01,data/targets/vdev_benchmarks/vdev_ble_safety_sweep_stress_01.json,BLE Congestion Routine Stress,11,9,0,0,2,16.3,16.3,0.0,0.0,1,,11,1,0.0119,True,data/baselines/naive_topo_parallel/latest/validation/vdev_ble_safety_sweep_stress_01
vdev_cloud_burst_living_conditions_snapshot_01,data/targets/vdev_benchmarks/vdev_cloud_burst_living_conditions_snapshot_01.json,Cloud Burst Living-Conditions Snapshot,14,0,12,0,2,10.9,2.8,8.1,74.31,1,,5,4,0.0135,True,data/baselines/naive_topo_parallel/latest/validation/vdev_cloud_burst_living_conditions_snapshot_01
vdev_cloud_burst_living_conditions_snapshot_profile_01,data/targets/vdev_benchmarks/vdev_cloud_burst_living_conditions_snapshot_profile_01.json,Cloud Burst Living Conditions Snapshot Profile Coverage,22,0,17,2,3,15.69,4.6,11.09,70.68,1,,7,4,0.0215,True,data/baselines/naive_topo_parallel/latest/validation/vdev_cloud_burst_living_conditions_snapshot_profile_01
vdev_come_home_security_comfort_merge_01,data/targets/vdev_benchmarks/vdev_come_home_security_comfort_merge_01.json,Come-Home Security and Comfort Merge,14,2,4,4,4,7.88,4.72,3.16,40.1,1,,6,4,0.0135,True,data/baselines/naive_topo_parallel/latest/validation/vdev_come_home_security_comfort_merge_01
vdev_dinner_home_mode_01,data/targets/vdev_benchmarks/vdev_dinner_home_mode_01.json,Dinner Time Home Mode Routine,16,4,5,3,4,12.26,8.32,3.94,32.14,1,,8,4,0.0161,True,data/baselines/naive_topo_parallel/latest/validation/vdev_dinner_home_mode_01
vdev_dinner_preparation_readiness_01,data/targets/vdev_benchmarks/vdev_dinner_preparation_readiness_01.json,Dinner Preparation Readiness,15,3,5,3,4,10.46,6.52,3.94,37.67,1,,7,4,0.0149,True,data/baselines/naive_topo_parallel/latest/validation/vdev_dinner_preparation_readiness_01
vdev_elderly_care_daily_check_01,data/targets/vdev_benchmarks/vdev_elderly_care_daily_check_01.json,Elderly Care Daily Check,13,3,3,3,4,8.66,5.62,3.04,35.1,1,,6,4,0.0135,True,data/baselines/naive_topo_parallel/latest/validation/vdev_elderly_care_daily_check_01
vdev_energy_hvac_audit_01,data/targets/vdev_benchmarks/vdev_energy_hvac_audit_01.json,Cloud Burst Energy & HVAC Audit Routine,12,0,10,0,2,9.1,2.8,6.3,69.23,1,,5,4,0.012,True,data/baselines/naive_topo_parallel/latest/validation/vdev_energy_hvac_audit_01
vdev_energy_hvac_audit_expanded_01,data/targets/vdev_benchmarks/vdev_energy_hvac_audit_expanded_01.json,Energy and HVAC Audit Expanded,15,0,10,2,3,9.39,2.8,6.59,70.18,1,,5,4,0.0162,True,data/baselines/naive_topo_parallel/latest/validation/vdev_energy_hvac_audit_expanded_01
vdev_good_morning_whole_floor_readiness_01,data/targets/vdev_benchmarks/vdev_good_morning_whole_floor_readiness_01.json,Good-Morning Whole-Floor Readiness,17,6,5,2,4,15.74,11.8,3.94,25.03,1,,9,4,0.0324,True,data/baselines/naive_topo_parallel/latest/validation/vdev_good_morning_whole_floor_readiness_01
vdev_guest_suite_welcome_01,data/targets/vdev_benchmarks/vdev_guest_suite_welcome_01.json,Guest Suite Welcome Routine,26,7,12,3,4,23.96,15.4,8.56,35.73,1,,12,4,0.0679,True,data/baselines/naive_topo_parallel/latest/validation/vdev_guest_suite_welcome_01
