dataset,sample_id,routine_name,group,ble_count,local_count,cloud_count,total_device_count,ground_truth_latency_s,complexity_score,validation_pass,naive_topo_latency_s,naive_topo_latency_gain_s,naive_topo_latency_gain_pct,diagnostic_rollback_depth,actual_rollback_invoked
smart-home,2,Arm Blink cameras when Abode is set to Home mode,Group1,0,0,1,1,1.2,1.4,1,0.868,0.332,27.67,1,0
smart-home,13,Turn on Home Connect Hood ambient light daily,Group1,0,0,1,1,1.25,1.45,1,1.026,0.224,17.92,1,0
smart-home,14,Automatically turn your Hue lights blue whenever it starts to rain,Group1,0,1,0,1,0.47,0.59,1,0.35,0.12,25.53,1,0
smart-home,16,Turn on Home Connect Hood light on a special day,Group1,0,0,2,2,2.39,2.79,1,1.729,0.661,27.66,2,0
smart-home,17,Turn on Home Connect Hood ambient light daily,Group1,0,0,2,2,2.04,2.44,1,1.476,0.564,27.65,2,0
smart-home,45,Get an Email from Home Connect Hood When Carbon Filter Is Nearly Full,Group1,0,0,2,2,1.9,2.3,1,1.457,0.443,23.32,2,0
smart-home,48,Set Philips Hue lights to blue when it starts raining,Group1,0,1,0,1,0.45,0.57,1,0.35,0.1,22.22,1,0
smart-home,53,Turn off Home Connect Oven with a Button press,Group1,0,0,2,2,1.96,2.36,1,1.545,0.415,21.17,2,0
smart-home,58,Blink Philips Hue lights and notify if fridge door left open,Group1,0,4,1,5,2.17,2.85,1,1.593,0.577,26.59,2,0
smart-home,72,Arm Blink system and run SwitchBot scene when you leave home,Group3,3,0,1,4,6.43,7.53,1,3.865,2.565,39.89,3,0
smart-home,86,Turn on Philips Hue lights when you arrive home,Group1,0,9,0,9,2.88,3.96,0,1.21,1.67,57.99,0,0
smart-home,103,Turn on Hue lights when it starts raining,Group2,0,3,3,6,3.75,4.71,1,2.266,1.484,39.57,3,0
smart-home,113,Turn off SmartThings lights with Button widget,Group1,0,0,2,2,2.39,2.79,1,1.884,0.506,21.17,2,0
smart-home,114,Enable Home Connect Super Cooling before grocery trip,Group1,0,0,2,2,1.99,2.39,1,1.59,0.4,20.1,2,0
smart-home,116,Turn on Hue lights when Netatmo temperature rises above threshold,Group2,0,4,4,8,5.69,6.97,0,2.39,3.3,58.0,0,0
smart-home,121,Notify when ecobee outdoor temperature exceeds threshold,Group1,0,0,2,2,1.85,2.25,1,1.558,0.292,15.78,2,0
smart-home,122,Turn on Hue and Kasa lights when you arrive home,Group1,0,6,0,6,2.1,2.82,1,1.701,0.399,19.0,2,0
smart-home,128,Arm Blink with a Flic button press,Group1,0,0,1,1,1.33,1.53,1,0.991,0.339,25.49,1,0
smart-home,143,Disarm Blink when the first person arrives home,Group1,0,0,2,2,2.34,2.74,1,1.945,0.395,16.88,2,0
smart-home,153,Notify when Netatmo temperature rises above threshold,Group1,0,0,1,1,1.26,1.46,1,0.952,0.308,24.44,1,0
smart-home,154,Turn off Hue and Kasa lights when you leave home,Group1,0,6,0,6,2.07,2.79,1,1.699,0.371,17.92,2,0
smart-home,189,Turn on Hue and Nanoleaf lights at sunset,Group1,0,6,0,6,1.81,2.53,1,1.407,0.403,22.27,2,0
smart-home,201,Turn off SmartThings lights and Kasa outlets at bedtime,Group4,0,9,7,16,9.1,11.58,1,6.126,2.974,32.68,3,0
smart-home,202,Color-loop Hue lights when Netatmo CO2 gets high,Group4,0,7,8,15,12.05,14.49,0,5.061,6.989,58.0,1,0
smart-home,203,Turn on SmartThings scene and Hue lights when arriving home,Group4,0,9,6,15,9.4,11.68,1,5.564,3.836,40.81,3,0
smart-home,204,Color-loop Hue lights when Netatmo CO2 gets high,Group3,0,7,8,15,8.79,11.23,0,3.692,5.098,58.0,1,0
