dataset,routine_id,run_id,baseline_execution_id,optimized_execution_id,device_side_field_total,device_side_field_matched,platform_side_field_total,platform_side_field_matched,routine_level_state_match,required_event_total,required_event_matched,intermediate_event_match,exception_match,resource_lifecycle_total,resource_lifecycle_matched,resource_lifecycle_match,timing_only_difference,independent_oracle_pass,invalid_run,invalid_reason,mismatch_type,mismatch_detail
smart-home,16,1,smart-home:16:run1:baseline,smart-home:16:run1:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,16,2,smart-home:16:run2:baseline,smart-home:16:run2:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,16,3,smart-home:16:run3:baseline,smart-home:16:run3:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,16,4,smart-home:16:run4:baseline,smart-home:16:run4:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,16,5,smart-home:16:run5:baseline,smart-home:16:run5:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,86,1,smart-home:86:run1:baseline,smart-home:86:run1:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,86,2,smart-home:86:run2:baseline,smart-home:86:run2:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,86,3,smart-home:86:run3:baseline,smart-home:86:run3:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,86,4,smart-home:86:run4:baseline,smart-home:86:run4:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,86,5,smart-home:86:run5:baseline,smart-home:86:run5:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,58,1,smart-home:58:run1:baseline,smart-home:58:run1:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,58,2,smart-home:58:run2:baseline,smart-home:58:run2:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,58,3,smart-home:58:run3:baseline,smart-home:58:run3:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,58,4,smart-home:58:run4:baseline,smart-home:58:run4:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,58,5,smart-home:58:run5:baseline,smart-home:58:run5:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,122,1,smart-home:122:run1:baseline,smart-home:122:run1:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,122,2,smart-home:122:run2:baseline,smart-home:122:run2:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,122,3,smart-home:122:run3:baseline,smart-home:122:run3:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,122,4,smart-home:122:run4:baseline,smart-home:122:run4:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,122,5,smart-home:122:run5:baseline,smart-home:122:run5:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,143,1,smart-home:143:run1:baseline,smart-home:143:run1:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,143,2,smart-home:143:run2:baseline,smart-home:143:run2:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,143,3,smart-home:143:run3:baseline,smart-home:143:run3:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,143,4,smart-home:143:run4:baseline,smart-home:143:run4:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,143,5,smart-home:143:run5:baseline,smart-home:143:run5:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,116,1,smart-home:116:run1:baseline,smart-home:116:run1:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,116,2,smart-home:116:run2:baseline,smart-home:116:run2:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,116,3,smart-home:116:run3:baseline,smart-home:116:run3:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,116,4,smart-home:116:run4:baseline,smart-home:116:run4:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,116,5,smart-home:116:run5:baseline,smart-home:116:run5:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,211,1,smart-home:211:run1:baseline,smart-home:211:run1:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,211,2,smart-home:211:run2:baseline,smart-home:211:run2:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,211,3,smart-home:211:run3:baseline,smart-home:211:run3:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,211,4,smart-home:211:run4:baseline,smart-home:211:run4:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,211,5,smart-home:211:run5:baseline,smart-home:211:run5:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,228,1,smart-home:228:run1:baseline,smart-home:228:run1:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,228,2,smart-home:228:run2:baseline,smart-home:228:run2:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,228,3,smart-home:228:run3:baseline,smart-home:228:run3:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,228,4,smart-home:228:run4:baseline,smart-home:228:run4:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,228,5,smart-home:228:run5:baseline,smart-home:228:run5:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,284,1,smart-home:284:run1:baseline,smart-home:284:run1:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,284,2,smart-home:284:run2:baseline,smart-home:284:run2:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,284,3,smart-home:284:run3:baseline,smart-home:284:run3:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,284,4,smart-home:284:run4:baseline,smart-home:284:run4:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,284,5,smart-home:284:run5:baseline,smart-home:284:run5:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,232,1,smart-home:232:run1:baseline,smart-home:232:run1:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,232,2,smart-home:232:run2:baseline,smart-home:232:run2:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,232,3,smart-home:232:run3:baseline,smart-home:232:run3:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,232,4,smart-home:232:run4:baseline,smart-home:232:run4:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,232,5,smart-home:232:run5:baseline,smart-home:232:run5:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,72,1,smart-home:72:run1:baseline,smart-home:72:run1:optimized,2,2,3,3,1,3,3,1,1,3,3,1,1,1,0,,,
smart-home,72,2,smart-home:72:run2:baseline,smart-home:72:run2:optimized,2,2,3,3,1,3,3,1,1,3,3,1,1,1,0,,,
smart-home,72,3,smart-home:72:run3:baseline,smart-home:72:run3:optimized,2,2,3,3,1,3,3,1,1,3,3,1,1,1,0,,,
smart-home,72,4,smart-home:72:run4:baseline,smart-home:72:run4:optimized,2,2,3,3,1,3,3,1,1,3,3,1,1,1,0,,,
smart-home,72,5,smart-home:72:run5:baseline,smart-home:72:run5:optimized,2,2,3,3,1,3,3,1,1,3,3,1,1,1,0,,,
smart-home,210,1,smart-home:210:run1:baseline,smart-home:210:run1:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,210,2,smart-home:210:run2:baseline,smart-home:210:run2:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,210,3,smart-home:210:run3:baseline,smart-home:210:run3:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,210,4,smart-home:210:run4:baseline,smart-home:210:run4:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,210,5,smart-home:210:run5:baseline,smart-home:210:run5:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
smart-home,212,1,smart-home:212:run1:baseline,smart-home:212:run1:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,212,2,smart-home:212:run2:baseline,smart-home:212:run2:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
