mutation_id,dataset,routine_id,routine_name,latency_group,protocol_modality,rollback_layer_count,mutation_type,mutation_label,expected_compatible_categories,valid_mutation,selection_index,validator_verdict,mutation_rejected,accepted_without_rejection_or_counterexample,false_positive,counterexample_found,concrete_counterexample,trace_only_rejection,counterexample_verdict,validator_diff_kind,compatible_violation_type,rollback_attempted,rollback_repaired,final_accept_after_rollback,alignment_status,m6_case_dir
mut_001,smart-home,16,Turn on Home Connect Hood light on a special day,"G1:(0,3]",Cloud,0,M1_dependent_action_swap,Dependent-action swap,order_violation,1,0,REJECT,1,0,0,1,0,1,TRACE_ONLY,order_violation,1,0,0,,PROVED,data/mutation_injected_divergence/latest/cases/mut_001
mut_002,smart-home,86,Turn on Philips Hue lights when you arrive home,"G1:(0,3]",Local,3,M1_dependent_action_swap,Dependent-action swap,order_violation,1,1,REJECT,1,0,0,1,0,1,TRACE_ONLY,order_violation,1,0,0,,PROVED,data/mutation_injected_divergence/latest/cases/mut_002
mut_003,smart-home,122,Turn on Hue and Kasa lights when you arrive home,"G1:(0,3]",Local,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,2,REJECT,1,0,0,1,0,1,TRACE_ONLY,order_violation,1,0,0,,PROVED,data/mutation_injected_divergence/latest/cases/mut_003
mut_004,smart-home,143,Disarm Blink when the first person arrives home,"G1:(0,3]",Cloud,0,M1_dependent_action_swap,Dependent-action swap,order_violation,1,3,REJECT,1,0,0,1,0,1,TRACE_ONLY,order_violation,1,0,0,,PROVED,data/mutation_injected_divergence/latest/cases/mut_004
mut_005,smart-home,211,Turn on Hue and Nanoleaf lights at sunset,"G2:(3,6]",Local,1,M1_dependent_action_swap,Dependent-action swap,order_violation,1,4,REJECT,1,0,0,1,0,1,TRACE_ONLY,order_violation,1,0,0,,PROVED,data/mutation_injected_divergence/latest/cases/mut_005
mut_006,smart-home,228,Activate Home Connect fridge sabbath mode every Friday,"G3:(6,9]",Cloud,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,5,REJECT,1,0,0,1,0,1,TRACE_ONLY,order_violation,1,0,0,,PROVED,data/mutation_injected_divergence/latest/cases/mut_006
mut_007,smart-home,232,Turn off my TP-Link Kasa plug when there's an electricity price spike,"G2:(3,6]",Local,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,6,REJECT,1,0,0,1,0,1,TRACE_ONLY,order_violation,1,0,0,,PROVED,data/mutation_injected_divergence/latest/cases/mut_007
mut_008,smart-home,72,Arm Blink system and run SwitchBot scene when you leave home,"G3:(6,9]",BLE+Cloud,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,7,REJECT,1,0,0,1,0,1,TRACE_ONLY,order_violation,1,0,0,,PROVED,data/mutation_injected_divergence/latest/cases/mut_008
mut_009,smart-home,212,Blink Philips Hue lights and notify if fridge door left open,"G3:(6,9]",Local+Cloud,1,M1_dependent_action_swap,Dependent-action swap,order_violation,1,8,REJECT,1,0,0,1,0,1,TRACE_ONLY,order_violation,1,0,0,,PROVED,data/mutation_injected_divergence/latest/cases/mut_009
mut_010,smart-home,248,Switch your ecobee to your chosen comfort profile as you arrive home,"G3:(6,9]",Cloud,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,9,REJECT,1,0,0,1,0,1,TRACE_ONLY,order_violation,1,0,0,,PROVED,data/mutation_injected_divergence/latest/cases/mut_010
mut_011,smart-home,205,Send Roborock home and disarm Blink when a Webhook event fires,"G4:(9,+)",Cloud,0,M1_dependent_action_swap,Dependent-action swap,order_violation,1,10,REJECT,1,0,0,1,0,1,TRACE_ONLY,order_violation,1,0,0,,PROVED,data/mutation_injected_divergence/latest/cases/mut_011
mut_012,smart-home,240,Open SwitchBot curtains when your Smart Bed alarm rings,"G4:(9,+)",BLE,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,11,REJECT,1,0,0,1,0,1,TRACE_ONLY,order_violation,1,0,0,,PROVED,data/mutation_injected_divergence/latest/cases/mut_012
